Gene ID	Old ID
UCDDS831_g1.t1	g1.t1
UCDDS831_g2.t1	g2.t1
UCDDS831_g3.t1	g3.t1
UCDDS831_g4.t1	g4.t1
UCDDS831_g5.t1	g5.t1
UCDDS831_g6.t1	g6.t1
UCDDS831_g7.t1	g7.t1
UCDDS831_g8.t1	g8.t1
UCDDS831_g9.t1	g9.t1
UCDDS831_g10.t1	g10.t1
UCDDS831_g11.t1	g11.t1
UCDDS831_g12.t1	g12.t1
UCDDS831_g13.t1	g13.t1
UCDDS831_g14.t1	g14.t1
UCDDS831_g15.t1	g15.t1
UCDDS831_g16.t1	g16.t1
UCDDS831_g17.t1	g17.t1
UCDDS831_g18.t1	g18.t1
UCDDS831_g19.t1	g19.t1
UCDDS831_g20.t1	g20.t1
UCDDS831_g21.t1	g21.t1
UCDDS831_g22.t1	g22.t1
UCDDS831_g23.t1	g23.t1
UCDDS831_g24.t1	g24.t1
UCDDS831_g25.t1	g25.t1
UCDDS831_g26.t1	g26.t1
UCDDS831_g27.t1	g27.t1
UCDDS831_g28.t1	g28.t1
UCDDS831_g29.t1	g29.t1
UCDDS831_g30.t1	g30.t1
UCDDS831_g31.t1	g31.t1
UCDDS831_g32.t1	g32.t1
UCDDS831_g33.t1	g33.t1
UCDDS831_g34.t1	g34.t1
UCDDS831_g35.t1	g35.t1
UCDDS831_g36.t1	g36.t1
UCDDS831_g37.t1	g37.t1
UCDDS831_g38.t1	g38.t1
UCDDS831_g39.t1	g39.t1
UCDDS831_g40.t1	g40.t1
UCDDS831_g41.t1	g41.t1
UCDDS831_g42.t1	g42.t1
UCDDS831_g43.t1	g43.t1
UCDDS831_g44.t1	g44.t1
UCDDS831_g45.t1	g45.t1
UCDDS831_g46.t1	g46.t1
UCDDS831_g47.t1	g47.t1
UCDDS831_g48.t1	g48.t1
UCDDS831_g49.t1	g49.t1
UCDDS831_g50.t1	g50.t1
UCDDS831_g51.t1	g51.t1
UCDDS831_g52.t1	g52.t1
UCDDS831_g53.t1	g53.t1
UCDDS831_g54.t1	g54.t1
UCDDS831_g55.t1	g55.t1
UCDDS831_g56.t1	g56.t1
UCDDS831_g57.t1	g57.t1
UCDDS831_g58.t1	g58.t1
UCDDS831_g59.t1	g59.t1
UCDDS831_g60.t1	g60.t1
UCDDS831_g61.t1	g61.t1
UCDDS831_g62.t1	g62.t1
UCDDS831_g63.t1	g63.t1
UCDDS831_g64.t1	g64.t1
UCDDS831_g65.t1	g65.t1
UCDDS831_g66.t1	g66.t1
UCDDS831_g67.t1	g67.t1
UCDDS831_g68.t1	g68.t1
UCDDS831_g69.t1	g69.t1
UCDDS831_g70.t1	g70.t1
UCDDS831_g71.t1	g71.t1
UCDDS831_g72.t1	g72.t1
UCDDS831_g73.t1	g73.t1
UCDDS831_g74.t1	g74.t1
UCDDS831_g75.t1	g75.t1
UCDDS831_g76.t1	g76.t1
UCDDS831_g77.t1	g77.t1
UCDDS831_g78.t1	g78.t1
UCDDS831_g79.t1	g79.t1
UCDDS831_g80.t1	g80.t1
UCDDS831_g81.t1	g81.t1
UCDDS831_g82.t1	g82.t1
UCDDS831_g83.t1	g83.t1
UCDDS831_g84.t1	g84.t1
UCDDS831_g85.t1	g85.t1
UCDDS831_g86.t1	g86.t1
UCDDS831_g87.t1	g87.t1
UCDDS831_g88.t1	g88.t1
UCDDS831_g89.t1	g89.t1
UCDDS831_g90.t1	g90.t1
UCDDS831_g91.t1	g91.t1
UCDDS831_g92.t1	g92.t1
UCDDS831_g93.t1	g93.t1
UCDDS831_g94.t1	g94.t1
UCDDS831_g95.t1	g95.t1
UCDDS831_g96.t1	g96.t1
UCDDS831_g97.t1	g97.t1
UCDDS831_g98.t1	g98.t1
UCDDS831_g99.t1	g99.t1
UCDDS831_g100.t1	g100.t1
UCDDS831_g101.t1	g101.t1
UCDDS831_g102.t1	g102.t1
UCDDS831_g103.t1	g103.t1
UCDDS831_g104.t1	g104.t1
UCDDS831_g105.t1	g105.t1
UCDDS831_g106.t1	g106.t1
UCDDS831_g107.t1	g107.t1
UCDDS831_g108.t1	g108.t1
UCDDS831_g109.t1	g109.t1
UCDDS831_g110.t1	g110.t1
UCDDS831_g111.t1	g111.t1
UCDDS831_g112.t1	g112.t1
UCDDS831_g113.t1	g113.t1
UCDDS831_g114.t1	g114.t1
UCDDS831_g115.t1	g115.t1
UCDDS831_g116.t1	g116.t1
UCDDS831_g117.t1	g117.t1
UCDDS831_g118.t1	g118.t1
UCDDS831_g119.t1	g119.t1
UCDDS831_g120.t1	g120.t1
UCDDS831_g121.t1	g121.t1
UCDDS831_g122.t1	g122.t1
UCDDS831_g123.t1	g123.t1
UCDDS831_g124.t1	g124.t1
UCDDS831_g125.t1	g125.t1
UCDDS831_g126.t1	g126.t1
UCDDS831_g127.t1	g127.t1
